         112120 function calls (108921 primitive calls) in 0.346 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2622(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:2669(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:28(PyAutoGUIException)
        1    0.000    0.000    0.000    0.000 __init__.py:2979(Checkbutton)
        1    0.000    0.000    0.244    0.244 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3015(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:307(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:3101(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:3121(Label)
       14    0.003    0.000    0.006    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3145(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:32(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:323(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3261(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3391(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3398(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:3405(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:3438(Scale)
        1    0.000    0.000    0.000    0.000 __init__.py:3477(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:351(CheckedCall)
        1    0.000    0.000    0.000    0.000 __init__.py:3527(Text)
        1    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:38(FailSafeException)
        7    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
       72    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3931(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3945(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3984(Image)
        1    0.000    0.000    0.009    0.009 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4052(PhotoImage)
        1    0.000    0.000    0.003    0.003 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4136(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:4154(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:4332(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:4356(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:441(StrFormatStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:46(load_first_config)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:48(ImageNotFoundException)
        1    0.000    0.000    0.000    0.000 __init__.py:490(StringVar)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:514(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:539(DoubleVar)
